type,name,iso_region,municipality,i94port,coordinate1,coordinate2
closed,Prairie Lake Hunt Club Airport,US-IL,Marseilles,,-88.682898,41.395
small_airport,Alley Oop Airport,US-IN,Wheatfield,68IN,-86.99749755859375,41.12139892578125
small_airport,Casa De Aero Park Airport,US-IL,Hampshire,68IS,-88.55979919433594,42.14860153198242
seaplane_base,Hancock Pond Seaplane Base,US-ME,Denmark,68JY,-70.75669860839844,43.93170166015625
small_airport,Cloud 9 Airport,US-KS,Paola,68KS,-94.78250122070312,38.56719970703125
small_airport,Lee's Airpark,US-KY,Somerset,68KY,-84.72969818115234,37.02330017089844
small_airport,Pilkinton Airstrip,US-LA,Bossier City,68LA,-93.51719665527344,32.33060073852539
heliport,Maine Medical Center Heliport,US-ME,Portland,68ME,-70.27695,43.653964
small_airport,Saline Airport,US-MI,Saline,68MI,-83.79190063476562,42.146400451660156
closed,Mathew Private Field,US-MN,Barnesville,,-96.450897,46.671299
heliport,Southeast Health Center of Stoddard County Heliport,US-MO,Dexter,68MO,-89.967405,36.80738
small_airport,Winstead '76' Airport,US-NC,Leasburg,68NC,-79.12809753417969,36.399600982666016
small_airport,Hall-Feld Airport,US-NE,Davey,68NE,-96.61969757080078,40.99140167236328
heliport,N U I Heliport,US-NJ,Somerville,68NJ,-74.61129760742188,40.582298278808594
small_airport,Flying H Ranch Airport,US-NM,Hope,68NM,-105.12699890136719,33.02870178222656
small_airport,Merrimac Farms Airport,US-NY,Mount Morris,68NY,-77.78389739990234,42.750099182128906
heliport,Abbey Etna Heliport,US-OH,Perrysburg,68OI,-83.60990142822266,41.56480026245117
heliport,Fairfax Heliport,US-OK,Fairfax,68OK,-96.71700286865234,36.56669998168945
closed,Lyda Ranch Airstrip,US-OR,Dufur,,-121.276001,45.3911
small_airport,Don's Place Airpark,US-PA,Hamburg,68PA,-75.91629791259766,40.5181999206543
small_airport,Hamp Airport,US-MI,Elwell,68R,-84.80079650878906,43.39950180053711
heliport,Avsi-Sugar Land Heliport,US-TX,Sugar Land,68TA,-95.6072006225586,29.64299964904785
small_airport,Norris Raun Ranch Airport,US-TX,El Campo,68TE,-96.49189758300781,29.19610023498535
small_airport,Bishop Field,US-TX,Royse City,68TS,-96.285015,32.874485
closed,San Patricio International Airport,US-TX,San Patricio,,-97.786903,27.980801
heliport,Carilion New River Valley Medical Center Heliport,US-VA,Radford,68VA,-80.51000213623047,37.09109878540039
small_airport,Mc Mahon Field,US-WA,Zillah,68WA,-120.222000122,46.393699646
heliport,Mayo Clinic Health System-Franciscan Healthcare Heliport,US-WI,La Crosse,68WI,-91.239807,43.804088
small_airport,Margaritaville Airport,US-TX,Whitesboro,68XS,-96.86979675292969,33.72129821777344
small_airport,Wells Municipal Airport,US-MN,Wells,68Y,-93.78359985351562,43.733299255371094
seaplane_base,Memory Lake Seaplane Base,US-AK,Wasilla,69AK,-149.42361450195312,61.62888717651367
heliport,Maricopa County Sheriff's Office Heliport,US-AZ,Mesa,69AZ,-111.8270034790039,33.38169860839844
heliport,Victor Valley Community Hospital Heliport,US-CA,Victorville,69CA,-117.292742729,34.5277595882
small_airport,Medlock Field,US-CA,Davis,69CL,-121.74700164794922,38.615501403808594
heliport,Porter Memorial Hospital Heliport,US-CO,Denver,69CO,-104.97599792480469,39.670799255371094
heliport,The Shore Heliport,US-CT,Mystic,69CT,-71.993167,41.319917
heliport,LZ Shadow Heliport,US-FL,Brooksville,69FA,-82.33465,28.555261
small_airport,Unicorn Place Airport,US-FL,Defuniak Springs,69FD,-86.28140258789062,30.84469985961914
small_airport,Eagle's Landing Airport,US-FL,Fort Myers,69FL,-82.1364974975586,26.67729949951172
small_airport,Richmond Field,US-MI,Gregory,69G,-84.06659698486328,42.44169998168945
heliport,Liberty Memorial Hospital Heliport,US-GA,Hinesville,69GA,-81.59149932861328,31.845800399780273
small_airport,Great Oaks Airport,US-GA,Tignall,69GE,-82.65290069580078,33.92300033569336
small_airport,Greuter Field,US-IN,Butler,69II,-84.87889862060547,41.36940002441406
small_airport,David Gillespie Airport,US-IL,Marseilles,69IL,-88.67919921875,41.365299224853516
heliport,Solar Nr 1 Heliport,US-IN,Lynnville,69IN,-87.26969909667969,38.22589874267578
small_airport,Sinele's Sunset Strip,US-IL,Niota,69IS,-91.29180145263672,40.579498291015625
small_airport,Chiles Airpark,US-KS,Chiles,69KS,-94.74250030517578,38.669700622558594
closed,Lyndon Fire Protection District Heliport,US-KY,Lyndon,,-85.602502,38.2612
heliport,Our Lady of Lourdes Hospital Heliport,US-LA,Lafayette,69LA,-92.035783,30.15184
small_airport,Maas Airstrip,US-IL,New Boston,69LL,-91.04879760742188,41.2869987487793
closed,Perry Aero Park,US-MI,Perry,,-84.278888,42.821389
small_airport,Yaggie Private Airport,US-MN,Breckenridge,69MN,-96.42949676513672,46.2776985168457
small_airport,Hess-Mckeown Airport,US-MO,Higbee,69MO,-92.4541015625,39.30839920043945
small_airport,Flying H Airport,US-MT,Lambert,69MT,-104.527115,47.780733
small_airport,Hall Airport,US-MN,Farmington,69MY,-93.1001968383789,44.66109848022461
small_airport,Slatington Airport,US-PA,Slatington,69N,-75.60489654541016,40.76359939575195
small_airport,Clute's Hilltop Airport,US-NC,Forest City,69NC,-81.8511962890625,35.433998107910156
small_airport,Tengesdal Airport,US-ND,Maxbass,69ND,-101.04199981689453,48.743099212646484
heliport,"Lockheed Electronics Company, Inc. Heliport",US-NJ,Watchung,69NJ,-74.42130279541016,40.64229965209961
heliport,UVMHN-Elizabethtown Community Hospital Heliport,US-NY,Ticonderoga,69NY,-73.436408,43.849329
closed,Dwight Field,US-OH,Homer,,-82.514397,40.2631
small_airport,Schulze's Airport,US-OH,Chatfield,69OI,-82.92489624023438,40.95009994506836
small_airport,Green Country Airpark,US-OK,Fairland,69OK,-94.85050201416016,36.72869873046875
small_airport,Dick Fisher Airport,US-OR,Gaston,69OR,-123.13700103759766,45.412601470947266
small_airport,Hurst STOLport,US-PA,Newmanstown,69PA,-76.20939636230469,40.342899322509766
small_airport,Avey Field Airport,US-WA,Laurier,69S,-118.223,48.998402
small_airport,Dean Airport,US-TX,Corpus Christi,69TA,-97.52529907226562,27.655000686645508
small_airport,Deer Pasture Airport,US-TX,Lampasas,69TE,-98.23639678955078,30.926300048828125
small_airport,White Airport,US-TX,Killeen,69TS,-97.75589752197266,30.99880027770996
small_airport,Green Lake Ranch Airport,US-TX,Bloomington,69TX,-96.85440063476562,28.583599090576172
small_airport,Meadow Farm Airport,US-VA,Ashland,69VA,-77.42050170898438,37.85710144042969
heliport,O & M Facilities Heliport,US-WA,Clarkston,69WA,-117.03900146484375,46.422298431396484
heliport,Kroy-Osceola Heliport,US-WI,Osceola,69WI,-92.68769836425781,45.31999969482422
small_airport,Richey Airfield,US-TX,Chico,69XA,-97.776206,33.349956
small_airport,Brushy Creek Airport,US-TX,Whitesboro,69XS,-96.8302001953125,33.75339889526367
small_airport,Warf Airport,US-NC,Reidsville,6A5,-79.70809936523438,36.31679916381836
small_airport,Kimball Municipal Airport,US-SD,Kimball,6A6,-98.97810363769531,43.75830078125
seaplane_base,Brocker Lake Seaplane Base,US-AK,Big Lake,6A7,-149.772994995,61.4818000793
small_airport,Rainy Pass Lodge Airport,US-AK,Rainy Pass,6AK,-152.71800231933594,62.08409881591797
small_airport,Platinum Mine Airport,US-AK,Platinum,6AK1,-161.71400451660156,58.91170120239258
small_airport,Sleepers Strip,US-AK,Point Mackenzie,6AK2,-149.98199462890625,61.25149917602539
small_airport,Butler Aviation Airport,US-AK,Kenai,6AK3,-151.2779998779297,60.729400634765625
small_airport,Fire Island Airport,US-AK,Anchorage,6AK5,-150.16099548339844,61.16830062866211
small_airport,Rainbow Heights Estates Airstrip,US-AK,Wasilla,6AK7,-149.63499450683594,61.57469940185547
small_airport,Tulakes Airport,US-AK,Wasilla,6AK8,-149.66900634765625,61.618099212646484
small_airport,Cizek North Airport,US-AK,Wasilla,6AK9,-149.6820068359375,61.63349914550781
closed,Sweet Home Airport,US-AL,Henagar,,-85.755572,34.582047
heliport,Air Evac 16 Heliport,US-AL,Tuscumbia,6AL4,-87.632813,34.671713
small_airport,Hawthorn Pines Airport,US-AL,Chatom,6AL6,-88.09259796142578,31.388599395751953
heliport,Malbis Med Park-Infirmary Health Heliport,US-AL,Daphne,6AL8,-87.854252,30.654636
heliport,Mega Site Helipad,US-AL,Bay Minette,6AL9,-87.745555,30.948611
small_airport,Cypress Creek Airpark,US-AR,El Paso,6AR0,-92.1171035767,35.0542984009
small_airport,Elder Airstrip,US-AR,Cave Springs,6AR1,-94.19660186770001,36.2779006958
closed,A J's Airport,US-AR,Casa,,-93.064903,35.020401
heliport,UAMS Alpha Pad Heliport,US-AR,Little Rock,6AR3,-92.320174,34.748234
heliport,Baptist Health Medical Center-Heber Spring Heliport,US-AR,Heber Springs,6AR4,-91.997694,35.504889
small_airport,Mc Donald's Airstrip,US-AR,Calamine,6AR5,-91.37079620360001,36.0346984863
small_airport,Two Rivers Airport,US-AR,Little Rock,6AR6,-92.44170379638672,34.840599060058594
heliport,Arkansas Heart Hospital Heliport,US-AR,Little Rock,6AR7,-92.39276123046875,34.739540100097656
small_airport,Flying W Airpark II Airport,US-AR,Charleston,6AR8,-94.0419006348,35.3300018311
small_airport,Pine Mountain Airpark,US-AR,Flippin,6AR9,-92.6943969727,36.4152984619
heliport,Lyon Aviation South Ramp Heliport,US-AZ,Scottsdale,6AZ0,-111.921334,33.6245
small_airport,Wisky Ranch/Chevlon Airport,US-AZ,Heber,6AZ2,-110.62799835205078,34.616798400878906
small_airport,Ash Creek Airport,US-AZ,Pearce,6AZ5,-109.542317,31.857483
heliport,Copper Queen Hospital Heliport,US-AZ,Bisbee,6AZ6,-109.88300323486328,31.41790008544922
heliport,Toon Tail Heliport,US-AZ,Tonopah,6AZ7,-112.78600311279297,33.50279998779297
small_airport,Flying Diamond Airport,US-AZ,Tucson,6AZ8,-111.12000274658203,31.941099166870117
small_airport,Middlebury State Airport,US-VT,Middlebury,6B0,-73.09590148929999,43.9847984314
closed,Bean Blossom Airport,US-MI,New Lothrop,6B3,-84.0051,43.0405
small_airport,Frankfort-Highland Airport,US-NY,Utica/Frankfort,6B4,-75.17040252685547,43.02090072631836
small_airport,Minute Man Air Field,US-MA,Stow,6B6,-71.51789855957031,42.46049880981445
small_airport,Eldora Municipal Airport,US-IA,Eldora,6C0,-93.11399841308594,42.3306999206543
small_airport,Ohio Dusting Co Inc Airport,US-OH,Pandora,6C2,-83.982202,40.952598
heliport,Hotel New Otani Los Angeles Heliport,US-CA,Los Angeles,6CA0,-118.24243784,34.0508104704
small_airport,Triple R Ranch Airport,US-CA,Macdoel,6CA1,-121.87799835205078,41.742698669433594
heliport,Sce Rosemead Heliport,US-CA,Rosemead,6CA2,-118.081132,34.050103
heliport,Catalina Air-Sea Terminal Heliport,US-CA,San Pedro,6CA3,-118.275001526,33.7491989136
heliport,East Valley Sheriff's Station Heliport,US-CA,Thousand Oaks,6CA4,-118.83499908447266,34.246700286865234
small_airport,Valley Vista Airport,US-CA,Yucca Valley,6CA5,-116.58000183105469,34.33720016479492
small_airport,Eagle Ridge Ranch Airport,US-CA,Railroad Flat,6CA6,-120.47699737548828,38.327701568603516
small_airport,J&J Crop Dusters Inc Airport,US-CA,Arvin,6CA7,-118.8550033569336,35.18000030517578
small_airport,Depue Airport,US-CA,Lenwood,6CA8,-117.13700103759766,34.85639953613281
heliport,UCLA Emergency Medicine Department Heliport,US-CA,Los Angeles,6CA9,-118.443000793,34.064998626699996
closed,Majors Airport,US-CA,Bakersfield,,-119.101997,35.5261
heliport,White Pine Heliport,US-CA,Eagleville,6CL2,-120.09700012207031,41.330501556396484
heliport,William Shells County Heliport,US-CA,Fillmore,6CL3,-118.86900329589844,34.38029861450195
small_airport,Manzanita Airport,US-CA,Mariposa,6CL4,-119.74199676513672,37.45940017700195
heliport,Majlar Heliport,US-CA,Ojai,6CL5,-119.16799926757812,34.156700134277344
small_airport,Mark Franz Private Strip,US-CA,O'Neals,6CL6,-119.60900115966797,37.17490005493164
heliport,Orange Co Sheriffs Forensics Lab Helistop,US-CA,Santa Ana,6CL7,-117.876998901,33.7475013733
small_airport,Harley Airport,US-CA,Stockton,6CL8,-121.24299621582031,37.950801849365234
closed,Peoria Airport,US-CA,Jamestown,,-120.514999,37.9217
heliport,Kaiser Permanente South Sacramento Heliport,US-CA,Sacramento,6CN6,-121.420743,38.469856
small_airport,Doctors Mesa Airport,US-CO,Eckert/Orchard City,6CO0,-108.01699829101562,38.85279846191406
small_airport,Burnham Field,US-CO,Wellington,6CO1,-104.91699981689453,40.78139877319336
small_airport,Mesawood Airpark,US-CO,Cedaredge,6CO2,-107.95800018310547,38.96110153198242
small_airport,Wine Glass International Airport,US-CO,La Junta,6CO3,-103.65799713134766,37.63639831542969
small_airport,Hat-Field STOLport,US-CO,Fort Collins,6CO4,-105.0009994506836,40.51029968261719
heliport,Montrose Blm Heliport,US-CO,Montrose,6CO5,-107.86799621582031,38.45830154418945
small_airport,Skywagon Ranch Airport,US-CO,Berthoud,6CO6,-105.145833,40.311886
heliport,Monument Heliport,US-CO,Grand Junction,6CO7,-108.5999984741211,39.096900939941406
heliport,West Area Pwr Admin Ops Center Heliport,US-CO,Montrose,6CO8,-107.873001099,38.4660987854
heliport,Salida Hospital Heliport,US-CO,Salida,6CO9,-105.98999786376953,38.532798767089844
small_airport,Maddock Municipal Airport,US-ND,Maddock,6D3,-99.527099609375,47.97779846191406
closed,Schmeltzer Heliport,US-OH,Akron,,-81.6604,41.147277
small_airport,Deshler Municipal Landing Strip,US-OH,Deshler,6D7,-83.87439727783203,41.21590042114258
small_airport,Talihina Municipal Airport,US-OK,Talihina,6F1,-95.07379913330078,34.707801818847656
small_airport,Manning Field,US-TX,Jefferson,6F7,-94.35440063476562,32.826499938964844
heliport,Orlando Hyatt House Heliport,US-FL,Kissimmee,6FA8,-81.53479766845703,28.333900451660156
small_airport,Windy Acres Airport,US-FL,Chiefland,6FD0,-82.86869812011719,29.565799713134766
heliport,Crystal River Power Plant Heliport,US-FL,Crystal River,6FD1,-82.69309997558594,28.959400177001953
small_airport,Big Oaks Ranch Airport,US-FL,Chuluota,6FD2,-81.08450317382812,28.666900634765625
heliport,Dunedin Heliport,US-FL,Dunedin,6FD4,-82.78980255126953,28.019699096679688
small_airport,Blanket Bay Airport,US-FL,Yeehaw Junction,6FD5,-81.09980010986328,27.778600692749023
small_airport,Britt Brown & Porter Ranch Airport,US-FL,Eustis,6FD6,-81.43309783935547,28.905000686645508
small_airport,Thomson Airfield,US-FL,Ellenton,6FD7,-82.53009796142578,27.544200897216797
heliport,Broward Health Medical Center Heliport,US-FL,Fort Lauderdale,6FD8,-80.140462,26.103359
closed,Thunderbird Heliport,US-FL,Fort Lauderdale,,-80.190902,26.136999
small_airport,Seminole Lake Gliderport,US-FL,Groveland,6FL0,-81.83789825439453,28.405799865722656
heliport,Mayo Clinic Heliport,US-FL,Jacksonville,6FL1,-81.440861,30.264972
small_airport,Kilpatrick Farm Airport,US-FL,Sneads,6FL2,-84.9177017211914,30.727399826049805
small_airport,Payson Ranch Airport,US-FL,Punta Gorda,6FL3,-81.56700134277344,26.937299728393555
small_airport,Sylvanmir Farms Airport,US-FL,Keaton Beach,6FL4,-83.57319641113281,29.82110023498535
heliport,Twin Cities Hospital Heliport,US-FL,Niceville,6FL5,-86.49639892578125,30.533899307250977
heliport,Sarasota Dept Of Fire-Rescue East Side Heliport,US-FL,Sarasota,6FL6,-82.4964981079,27.338899612400002
heliport,Timmer Heliport,US-FL,Lake Wales,6FL7,-81.437533,27.834669
small_airport,Ames Field,US-FL,Trenton,6FL8,-82.87120056152344,29.587499618530273
small_airport,Saw Whet Farms Airport,US-FL,Bell,6FL9,-82.87120056152344,29.690000534057617
small_airport,Cove Valley Airport,US-PA,Williamsburg,6G6,-78.23809814453125,40.454498291015625
small_airport,Shamrock Field,US-MI,Brooklyn,6G8,-84.24079895019531,42.095001220703125
small_airport,Stoney Point Field,US-GA,Cumming,6GA0,-84.19940185546875,34.132598876953125
small_airport,Fagundes Field,US-GA,Haralson,6GA1,-84.58380126953125,33.19900131225586
heliport,Becker Heliport,US-GA,Monroe,6GA2,-83.763056,33.766389
heliport,Hca Parkway Medical Center Heliport,US-GA,Lithia Springs,6GA3,-84.61139678955078,33.778099060058594
small_airport,Spring Valley Farm Airport,US-GA,Loganville,6GA4,-83.85130310058594,33.79710006713867
small_airport,Kolibri Airport,US-GA,Whitesburg,6GA5,-84.90689849853516,33.57820129394531
heliport,Central State Hospital Heliport,US-GA,Milledgeville,6GA6,-83.20099639892578,33.02320098876953
heliport,Mac Heliport,US-GA,Cumming,6GA7,-84.29530334472656,34.20610046386719
small_airport,Flying W Farms Airport,US-GA,Carrollton,6GA8,-85.18560028076172,33.5078010559082
closed,Palmyra Park Heliport,US-GA,Albany,,-84.170197,31.6068
small_airport,Rainbow Field,US-GA,Woodland,6GE2,-84.53780364990234,32.832801818847656
small_airport,Van Wagnen Airport,US-MI,Napoleon,6H4,-84.33439636230001,42.1563987732
small_airport,Hazelton Municipal Airport,US-ND,Hazelton,6H8,-100.2699966430664,46.48189926147461
heliport,Decatur County Hospital Heliport,US-IA,Leon,6IA0,-93.73580169677734,40.7505989074707
heliport,Loring Hospital Heliport,US-IA,Sac City,6IA1,-94.97920227050781,42.41939926147461
heliport,Jennie Edmundson Hospital Heliport,US-IA,Council Bluffs,6IA2,-95.83529663085938,41.26919937133789
heliport,Saint Luke's Medical Center Heliport,US-IA,Sioux City,6IA3,-96.40609741210938,42.51969909667969
heliport,Polk County Hospital Heliport,US-IA,Des Moines,6IA4,-93.6406021118164,41.61669921875
small_airport,Davis Field,US-IA,Dunkerton,6IA5,-92.21690368652344,42.61669921875
small_airport,Leise Airport,US-IA,Albion,6IA6,-92.9751968383789,42.150001525878906
small_airport,R S Auto Airport,US-IA,Lockridge,6IA7,-91.74420166015625,40.99039840698242
heliport,Mmsc Heliport,US-IA,Marshalltown,6IA8,-92.9072036743164,42.04859924316406
heliport,Clarke County Hospital Heliport,US-IA,Osceola,6IA9,-93.76799774169922,41.026100158691406
small_airport,Regan Ranch Airport,US-ID,Coeur D Alene,6ID1,-116.698997498,47.6436004639
small_airport,Turnpaugh Field,US-IN,Walton,6II0,-86.29280090332031,40.645301818847656
closed,Executive Inn Heliport,US-IN,Evansville,,-87.565598,37.971699
small_airport,Willis Airport Site No. 2 Airport,US-IN,Greenfield,6II2,-85.72329711914062,39.7333984375
heliport,Terre Haute Pepsi Cola Heliport,US-IN,Terre Haute,6II3,-87.35919952392578,39.48860168457031
small_airport,Cornell Airport,US-IN,Boonville,6II4,-87.29889678955078,37.982200622558594
heliport,Southport Heliport,US-IN,Indianapolis,6II5,-86.09500122070312,39.66809844970703
small_airport,David Beiswanger Ultralightport,US-IN,South Milford,6II6,-85.2739028930664,41.56060028076172
small_airport,Bergs Airport,US-IN,Lizton,6II7,-86.5813980102539,39.886199951171875
small_airport,Godahavit Airport,US-IN,Wheatland,6II8,-87.28279876708984,38.65449905395508
small_airport,Idlas Restricted Landing Area,US-IL,Genoa,IL60,-88.699799,42.131402
heliport,The American Coal Company Heliport,US-IL,Galatia,6IL1,-88.5828018188,37.8384017944
small_airport,Phyllis Field,US-IL,Huntley,6IL2,-88.41790008544922,42.221099853515625
small_airport,Rummel Restricted Landing Area,US-IL,German Valley,6IL3,-89.5000991821289,42.16669845581055
small_airport,Foxfield Aerodrome,US-IL,Lanark,6IL4,-89.88619995117188,42.160301208496094
small_airport,Keil Airport,US-IL,Dongola,6IL5,-89.160400390625,37.38639831542969
small_airport,Reid Restricted Landing Area,US-IL,Gilberts,6IL6,-88.40789794921875,42.11840057373047
closed,Ameritech Center Heliport,US-IL,Hoffman Estates,,-88.123595,42.077801
heliport,Centralia Correctional Center Heliport,US-IL,Centralia,6IL8,-89.19640350341797,38.55440139770508
closed,Volmedics Heliport,US-IN,Brazil,,-87.063642,39.474508
small_airport,Whelen Airport,US-IN,Waldron,6IN2,-85.64859771728516,39.49359893798828
small_airport,Wyandotte Airport,US-IN,Lafayette,6IN3,-86.76390075683594,40.34920120239258
small_airport,Fischer Field,US-IN,Waldron,6IN4,-85.69860076904297,39.46580123901367
small_airport,Foghorn Farms Airport,US-IN,Pendleton,6IN5,-85.78359985351562,40.032798767089844
small_airport,Mershon Airport,US-IN,Monrovia,6IN6,-86.47669982910156,39.54890060424805
seaplane_base,Lake Pleasant Seaplane Base,US-IN,Angola,C67,-85.091903686523,41.756999969482
small_airport,Mcminn Airport,US-IN,Rushville,6IN8,-85.31670379638672,39.52859878540039
seaplane_base,Lake James Seaplane Base,US-IN,Angola,01E,-85.03929901123,41.700000762939
small_airport,Day Aero-Place Airport,US-IL,Urbana,6IS0,-88.12870025634766,40.095001220703125
heliport,Cary Fire Dept Heliport,US-IL,Cary,6IS1,-88.2522964478,42.2125015259
heliport,Lemont Fire Dept Heliport,US-IL,Lemont,6IS2,-88.00420379639999,41.6722984314
heliport,Good Samaritan Regional Health Care Center Heliport,US-IL,Mount Vernon,6IS4,-88.91059875488281,38.32229995727539
heliport,Presence Holy Family Medical Center Heliport,US-IL,Des Plaines,6IS5,-87.891348,42.054945
heliport,Presence Sts Mary and Elizabeth Medical Center Heliport,US-IL,Chicago,6IS7,-87.6828,41.902802
small_airport,Trisler Airport,US-IL,Homer,6IS8,-87.9052963256836,39.989498138427734
heliport,St Joseph Medical Center - Joliet Heliport,US-IL,Joliet,6IS9,-88.1370010376,41.5285987854
small_airport,Edgefield County Airport,US-SC,Trenton,6J6,-81.8196029663086,33.73680114746094
small_airport,Oak Tree Landing,US-FL,High Springs,6J8,-82.66608430560001,29.7196756944
heliport,Cablevision Bethpage Heliport,US-NY,Bethpage,6JY8,-73.49690246582031,40.7593994140625
small_airport,Shelby County Airport,US-MO,Shelbyville,6K2,-92.05020141601562,39.812599182128906
small_airport,Grundy Center Municipal Airport,US-IA,Grundy Center,6K7,-92.84349822998047,42.350799560546875
small_airport,Keosauqua Municipal Airport,US-IA,Keosauqua,6K9,-91.94879913330078,40.73469924926758
heliport,Republic County Hospital Heliport,US-KS,Belleville,6KS0,-97.63729858398438,39.81779861450195
small_airport,Quinter Air Strip,US-KS,Quinter,6KS1,-100.25,39.07059860229492
small_airport,Stevenson Private Airport,US-KS,Selden,6KS2,-100.62999725341797,39.44169998168945
small_airport,Walker Strip,US-KS,Sharon Springs,6KS3,-101.74800109863281,38.84560012817383
small_airport,Bussen Airport,US-KS,Sharon Springs,6KS4,-101.78399658203125,38.90530014038086
small_airport,Yeamans Fox Nest Airport,US-KS,Pleasanton,6KS5,-94.66449737548828,38.224998474121094
small_airport,Kiowa Airport,US-KS,Kiowa,6KS6,-98.49590301513672,37.01530075073242
small_airport,Shute Airport,US-KS,Lebanon,6KS7,-98.51029968261719,39.984500885009766
closed,Mary's Place Airport,US-KS,Emporia,,-96.146103,38.383598
heliport,Providence Medical Center Heliport,US-KS,Kansas City,6KS9,-94.7876968384,39.1268997192
small_airport,Flying C Farms Airport,US-KY,Shelbyville,6KY3,-85.214167,38.328611
small_airport,Adair Airport,US-KY,Fountain Run,6KY4,-85.953889,36.753333
small_airport,Jeffries Farm Airport,US-KY,Louisville,6KY6,-85.36309814453125,38.360599517822266
small_airport,Alexander Field,US-KY,Hickman,6KY7,-89.051693,36.523
heliport,Jackson Barracks Heliport,US-LA,New Orleans,6LA0,-90.0094985961914,29.953500747680664
small_airport,Cottonwood Airport,US-LA,Lake Providence,6LA1,-91.20590209960938,32.98400115966797
closed,Division 'B' Office Heliport,US-LA,Houma,,-90.738402,29.5874
heliport,Pendleton Memorial Methodist Hospital Heliport,US-LA,New Orleans,6LA3,-89.97589874267578,30.028499603271484
small_airport,Dyer Airport,US-LA,Oakdale,6LA4,-92.591796875,30.807100296020508
small_airport,Church Point Flyers Airport,US-LA,Church Point,6LA5,-92.2406005859375,30.45479965209961
small_airport,Williams Flying Service Airport,US-LA,Winnsboro,6LA6,-91.86820220947266,32.21820068359375
heliport,Cagc Freshwater Terminal Heliport,US-LA,Pecan Island,6LA7,-92.30290222167969,29.537700653076172
heliport,Mud Hole Heliport,US-LA,Kaplan,6LA8,-92.44180297851562,29.556900024414062
heliport,Energy Heliport,US-LA,Houma,6LA9,-90.70559692382812,29.575199127197266
small_airport,Williamson Airport,US-IL,Neoga,6LL0,-88.42500305175781,39.31890106201172
small_airport,Cumberland Air Park RLA Restricted Landing Area,US-IL,Neoga,6LL1,-88.3444976807,39.3138999939
small_airport,Young Airport,US-IL,Viola,6LL2,-90.55740356445312,41.16450119018555
small_airport,Wildy Field,US-IL,New Athens,6LL4,-89.89179992675781,38.26750183105469
small_airport,Smith Restricted Landing Area,US-IL,New Berlin,6LL5,-89.99120330810547,39.78950119018555
small_airport,Fischer's RLA Restricted Landing Area,US-IL,New Memphis,6LL6,-89.6633987427,38.4916992188
heliport,Jasper County Safety Council Heliport,US-IL,Newton,6LL7,-88.17639923095703,38.989498138427734
small_airport,Songwood Inn Airport,US-IL,Watseka,6LL8,-87.72530364990234,40.792301177978516
heliport,Hurst Aviation Heliport,US-IL,Coulterville,6LL9,-89.59539794921875,38.192298889160156
small_airport,Marked Tree Municipal Airport,US-AR,Marked Tree,6M8,-90.4000015258789,35.53559875488281
seaplane_base,Lake Gardner Seaplane Base,US-MA,Amesbury,6MA0,-70.94339752197266,42.86149978637695
heliport,Nason Hill Heliport,US-MA,Sherborn,6MA1,-71.37889862060547,42.20589828491211
small_airport,Meadowbrook Airport,US-MA,Amesbury,6MA2,-70.99659729003906,42.86009979248047
heliport,Scibelli Heliport,US-MA,Southwick,6MA3,-72.72450256347656,42.06290054321289
heliport,Ferncroft Village Heliport,US-MA,Middleton,6MA4,-70.97029876708984,42.5973014831543
heliport,Baystate Medical Ctr Heliport,US-MA,Springfield,6MA5,-72.6008987427,42.1220016479
heliport,Cotuit Heliport,US-MA,Cotuit,6MA6,-70.44309997558594,41.61709976196289
heliport,Quantum (Shrewsbury) Heliport,US-MA,Shrewsbury,6MA7,-71.69259643554688,42.27289962768555
seaplane_base,Acushnet River Seaplane Base,US-MA,New Bedford,6MA8,-70.9175033569336,41.647300720214844
seaplane_base,Cuttyhunk Harbor Seaplane Base,US-MA,Cuttyhunk,6MA9,-70.927298,41.423199
small_airport,Dileo Field,US-MD,Denton,6MD1,-75.90640258789062,38.83639907836914
closed,Spring Landing Airport,US-MD,Crumpton,,-75.884399,39.2458
small_airport,Harp Airport,US-MD,Wolfsville,6MD3,-77.54669952392578,39.596900939941406
small_airport,Pembroke Farm Airport,US-MD,Conowingo,6MD4,-76.2083969116211,39.719398498535156
heliport,UM Charles Regional Medical Center Heliport,US-MD,La Plata,6MD6,-76.970992,38.528516
small_airport,D'Angelo Airport,US-MD,Golts,6MD7,-75.7667007446289,39.33919906616211
small_airport,White's Airstrip,US-MD,Pittsville,6MD8,-75.4032974243164,38.442298889160156
heliport,Washington Adventist Hospital Heliport,US-MD,Takoma Park,6MD9,-77.00189971923828,38.986000061035156
small_airport,Abbots Airport,US-ME,East Sumner,6ME6,-70.395,44.353332
small_airport,King Trout Airport,US-MI,Grayling,6MI0,-84.9520034790039,44.61470031738281
small_airport,Jensen Field,US-MI,Millington,6MI1,-83.56379699707031,43.263099670410156
small_airport,Deyoung Airport,US-MI,Allendale,6MI2,-85.96170043945312,42.96780014038086
small_airport,Curt's Place Airport,US-MI,Zeeland,6MI3,-85.98280334472656,42.763099670410156
heliport,Guardian Industries Heliport,US-MI,Novi,6MI4,-83.46990203857422,42.45000076293945
heliport,Survival Flight Heliport,US-MI,Ann Arbor,6MI5,-83.72799682617188,42.28390121459961
